Active,Unknown,Country,Created By ID,Created Date,Department,Full Name,Last Login,Last Modified By ID,Last Modified Date,Manager ID,Nickname,Profile ID,Role ID,State/Province,User ID,User Type
FALSE,Unknown,Unknown,005i0000000fpvQAAQ,01/09/2015,Service,Olivia Johnson,10/30/19 11:10,0055A000009s6n0QAA,12/11/2019,Unassigned,Liv,00ei0000000vIysAAE,No Longer Active,Unknown,00531000006uPsjAAE,Standard
TRUE,Poquoson,United States,005i0000000fpvQAAQ,15/04/2016,Sales,Liam Smith,6/29/21 17:45,0055A00000BclF5QAJ,16/08/2021,005i0000000fNkyAAE,Lee,00e5A000001rJEpQAM,00E5A000001F19kUAC,VA,00531000007Es7rAAC,Standard
TRUE,Boston,United States,005i0000000fpvQAAQ,18/01/2016,Sales,Emma Brown,6/28/21 17:33,0055A00000BclF5QAJ,16/08/2021,005i0000000fNkyAAE,Em,00e5A000001rJEpQAM,00E5A000001F19qUAC,MA,00531000007KAsvAAG,Standard
TRUE,Boston,United States,005i0000000fpvQAAQ,18/01/2016,Sales,Noah Jones,6/29/21 15:21,0055A00000BclF5QAJ,16/08/2021,0055A00000BcmLYQAZ,Noey,00e5A000001rJEkQAM,00E5A000001F19yUAC,MAf,00531000007KAu8AAG,Standard
FALSE,Unknown,Unknown,005i0000000fpvQAAQ,18/01/2016,Former Employee,Ava Garcia,1/25/16 18:36,005i0000000fpvQAAQ,25/01/2016,Unassigned,Aves,00ei0000000vIysAAE,No Longer Active,Unknown,00531000007KAvBAAW,Standard
TRUE,Unknown,United States,00531000007KAvBAAW,25/01/2016,Sales,Oliver Martinez,6/28/21 17:27,0055A00000BclF5QAJ,16/08/2021,005i0000000fNkyAAE,Ollie,00e5A000001rJEpQAM,00E5A000001F19hUAC,Unknown,00531000007KgPgAAK,Standard
FALSE,Unknown,Unknown,005i0000000fpvQAAQ,16/02/2016,Former Employee,Sophia Rodriguez,3/6/17 16:15,005i0000000fpvQAAQ,16/03/2017,Unassigned,Sophie,00ei0000000vIz2AAE,No Longer Active,Unknown,00531000007M2hjAAC,Standard
TRUE,Boston,United States,005i0000000fpvQAAQ,23/02/2016,Sales & Business Development,Elijah Hernandez,12/9/21 19:38,0055A00000BclF5QAJ,09/12/2021,005i0000000fNkyAAE,Eli,00e5A000001rJEpQAM,00E5A000001F19nUAC,MA,00531000007MUoEAAW,Standard
TRUE,Unknown,United States,005i0000000fpvQAAQ,17/01/2017,Sales & Business Development,Mia Wilson,6/1/21 18:10,0055A00000BclF5QAJ,16/08/2021,Unassigned,M,00e5A000001rJEkQAM,00E5A000001F1A2UAK,Unknown,00531000008F2psAAC,Standard
TRUE,Unknown,United States,005i0000000fpvQAAQ,17/01/2017,Corporate,Lucas Lee,6/29/21 15:43,0055A00000BclF5QAJ,16/08/2021,005i0000000fNkyAAE,Luke,00e5A000001rJEpQAM,00E5A000001F19oUAC,Unknown,00531000008F2qlAAC,Standard
FALSE,Unknown,Unknown,005i0000000fpvQAAQ,20/01/2017,Marketing,Amelia Perez,1/29/20 14:06,0055A000009s6n0QAA,29/01/2020,Unassigned,Millie,00ei0000000vIysAAE,No Longer Active,Unknown,00531000008FFH0AAO,Standard
FALSE,Boston,United States,005i0000000fpvQAAQ,23/01/2017,Sales,Mason Thompson,8/17/18 12:43,0055A000009s6n0QAA,04/02/2020,Unassigned,Mace,00ei0000000vIysAAE,No Longer Active,MA,00531000008FRNUAA4,Standard
FALSE,Unknown,Unknown,005i0000000fpvQAAQ,16/03/2017,Former Employee,Harper White,4/2/19 6:10,005i0000000fpvQAAQ,02/04/2019,Unassigned,Harp,00ei0000000vIysAAE,No Longer Active,Unknown,00531000008QpAHAA0,Standard
FALSE,Unknown,Unknown,005i0000000fpvQAAQ,27/03/2017,Former Employee,Ethan Harris,9/14/18 19:09,005i0000000fpvQAAQ,30/01/2019,Unassigned,E,00e5A000001Ztv5QAC,No Longer Active,Unknown,00531000008RIokAAG,Standard
FALSE,Unknown,Unknown,005i0000000fpvQAAQ,09/01/2018,Former Employee,Evelyn Clark,8/17/18 18:18,005i0000000fpvQAAQ,17/08/2018,Unassigned,Evie,00ei0000000vIz2AAE,No Longer Active,Unknown,0055A000006HDY9QAO,Standard
TRUE,Unknown,United States,005i0000000fpvQAAQ,17/08/2018,Field Application Scientists,Aiden Lewis,6/29/21 18:53,0055A00000BclF5QAJ,16/08/2021,0055A00000BcmLYQAZ,Aids,00e5A000001rJEkQAM,00E5A000001F19vUAC,Unknown,0055A000008iLmcQAE,Standard
TRUE,Unknown,United States,005i0000000fpvQAAQ,17/08/2018,Corporate,Abigail Robinson,6/29/21 19:07,0055A00000BclF5QAJ,16/08/2021,Unassigned,Abby,00e5A000001rJFEQA2,00E5A000001F1A5UAK,Unknown,0055A000008iLmhQAE,Standard
